ds,yhat,yhat_lower,yhat_upper
2017-11-20,9844.238976388278,3049.7129268043627,16575.59473510443
2017-11-21,9887.529943682553,2833.02757415818,16309.956414461745
2017-11-22,10050.226179970476,3619.0963713730016,17132.68697070445
2017-11-23,10007.11516799049,3248.1295334973324,16749.96127471811
2017-11-24,10110.987932853923,3505.4213180192273,17051.58969930606
2017-11-25,10167.62364004775,3805.548541419418,16253.603276123666
2017-11-26,10210.687216836735,3074.023178877799,16833.033845796705
2017-11-27,10317.037638580081,4144.77015459651,17333.090572403198
2017-11-28,10339.299649725817,3272.7431986107204,16602.616464918083
2017-11-29,10475.619733531817,3939.177396548148,17095.94724859086
2017-11-30,10400.888023183263,3439.3455210699885,17309.6530185819
2017-12-01,10468.184593568605,3686.7036873459356,17579.771367135694
2017-12-02,10483.759631326478,4192.841612956466,16994.477157179248
2017-12-03,10481.920814306972,3420.777180443113,16392.408050225236
2017-12-04,10540.325742620942,4074.0726745345337,17317.963094213792
2017-12-05,10512.532566103262,3777.5402298719314,16909.400600341432
2017-12-06,10597.730163457862,3839.1492808890403,17719.633085109253
2017-12-07,10471.930259742516,3994.074018335249,17725.13939110487
2017-12-08,10489.380750036536,3825.772682549294,18102.0397476192
2017-12-09,10457.51066752499,3562.7572907306076,16926.82831911592
2017-12-10,10411.781153561702,3926.957996793876,17123.896471288444
2017-12-11,10430.94135480083,3704.458455098586,17399.941919513396
2017-12-12,10369.543500236363,3514.3659769699348,17198.14761077116
2017-12-13,10427.639613756593,3508.193850278103,17478.05750315805
2017-12-14,10281.943308552967,3463.1672438232026,17163.91529749242
2017-12-15,10287.216917835281,3394.9320333156265,17003.138373569745
2017-12-16,10251.195282911354,3419.2466696188944,16875.68136153538
2017-12-17,10209.421307039898,3004.389457039592,16915.020874219914
2017-12-18,10240.492794304097,3513.177446476093,16901.06079347597
2017-12-19,10198.575243285737,3050.621814363688,16986.69767348925
2017-12-20,10283.103275308662,3920.546352863531,16974.268171496387
2017-12-21,10169.954164745213,3304.918472928991,16756.305976804455
2017-12-22,10212.853539680498,3761.4324393069564,17028.39096122095
2017-12-23,10218.324182156095,3663.988302423174,16831.182532056082
2017-12-24,10220.552446658774,3484.322396989678,16872.980039456153
2017-12-25,10296.671042109532,3598.6728954285472,16638.98669997247
2017-12-26,10299.311908216998,3721.5290438519987,17200.377957158278
2017-12-27,10426.350786560834,3623.354000565284,16989.483883826906
2017-12-28,10352.125762970487,2938.046485985282,16607.933726431234
2017-12-29,10428.888579710576,3425.3388480332774,17395.734724433583
2017-12-30,10461.79833360387,3091.6710354934344,17233.630550314487
2017-12-31,10483.830759640443,4058.738406898054,17045.019278310534
2018-01-01,10571.100558407972,4183.760892448764,17205.95227096991
2018-01-02,10575.449281219786,3998.9215397018665,17180.471156030726
2018-01-03,10694.219262693066,4313.183591214697,17388.884651739965
2018-01-04,10601.494907002741,3703.7355030206622,17533.715272087637
2018-01-05,10649.569326667202,4257.900267652244,17443.043125420736
2018-01-06,10643.945346976772,3648.857382386133,17368.76863317431
2018-01-07,10618.24368999434,3682.7145556138125,17176.628787330017
2018-01-08,10649.51564302552,4072.5054731678056,17907.143088409095
2018-01-09,10590.812812583312,3690.4232637232885,17621.784872219734
2018-01-10,10640.93478298587,4271.805755696948,17384.16830325656
2018-01-11,10475.63655216353,3828.985756828146,16858.87815075711
2018-01-12,10449.054534782588,4019.374112112189,16973.78648226256
2018-01-13,10368.661143249617,3631.76177117647,17113.022568545202
2018-01-14,10270.121939422,3366.2154913485183,16965.04246936405
2018-01-15,10232.553991865965,3388.2307706422407,16730.702297969205
2018-01-16,10111.039485724792,3285.0407364246544,16921.453417747125
2018-01-17,10106.316927560556,3346.4525968722432,16561.328057656756
2018-01-18,9895.93337664408,3415.576263369156,16872.766018521295
2018-01-19,9835.618044182589,3054.1468662278467,16561.38507111281
2018-01-20,9734.188771396943,2909.6666255149607,16858.200457837025
2018-01-21,9628.366785848148,3127.7289163589453,16721.850230556098
2018-01-22,9597.999643032173,2891.327519111019,16776.61233742797
2018-01-23,9498.547500602534,2517.0442649090123,16738.549400635675
2018-01-24,9530.755962929703,2836.6800538585644,16196.004967946972
2018-01-25,9371.799590010041,2254.6168175880653,16004.613068126864
2018-01-26,9376.656820270407,2512.5020012496693,16624.87441210021
2018-01-27,9353.027956892434,2469.7833653894613,15966.26906641221
2018-01-28,9336.171478869019,2123.9462533512783,16190.47464162925
2018-01-29,9404.15816876636,2367.4598766921963,16003.516761229423
2018-01-30,9410.397520412764,2485.806867032003,15967.22259368748
2018-01-31,9553.358726228402,2954.6078834203972,16154.938961617492
2018-02-01,9507.769168905226,2625.5753074922577,15990.007284583075
2018-02-02,9626.049795467097,2464.7410410341113,15818.86534295505
2018-02-03,9713.29748469776,2272.5644724099648,16650.03521759055
2018-02-04,9802.18800339527,2484.6597345260916,16342.314800965569
2018-02-05,9968.29729458852,3101.7273248403176,16556.99843208248
2018-02-06,10062.69377567571,3688.6031178844464,16997.243509872023
2018-02-07,10281.722172774658,3606.9298729700613,17353.696062582956
2018-02-08,10298.26010272502,3591.9355775451077,17158.794609376004
2018-02-09,10463.205174888019,3654.7697607735436,17329.9400101542
2018-02-10,10580.501269878692,3875.271471205646,17351.447908218575
2018-02-11,10682.076317002871,3563.60761408985,17560.375642770756
2018-02-12,10843.188346088256,4248.440407681828,17160.481397143634
2018-02-13,10915.031590386707,3885.64289597882,17101.76358601887
2018-02-14,11094.522805372937,4364.539747618495,18055.240378397637
2018-02-15,11055.548758648722,4493.430935354428,18340.79147123576
2018-02-16,11150.432790150011,4155.485178488827,18053.295487389772
2018-02-17,11184.929519564397,4661.04484571726,18192.691000265888
2018-02-18,11193.120752216211,4552.439146371186,18203.47245762785
2018-02-19,11252.710291313888,4346.174523176806,18561.52056934489
2018-02-20,11217.570813815806,4434.777316209986,18404.675068377415
2018-02-21,11287.46432159127,4428.223091922599,18326.872212426482
2018-02-22,11139.218848669723,4648.722321732198,17613.898214238416
2018-02-23,11128.121114625072,4293.514285463542,17957.371723909564
2018-02-24,11062.836099901742,4457.767821722937,17565.201516579502
